category_norm,category_title,occurrence_count,first_date,last_date,distinct_member_sets,fill_blank_occurrences,mean_expert_difficulty,mean_user_difficulty_calibrated,mean_failure_rate,mean_average_mistakes,merged_unique_items
MUSICAL INSTRUMENTS,MUSICAL INSTRUMENTS,2,2024-07-22,2025-03-22,2,0,3.0,3.190284656920043,0.384748,2.4016175,8
NAME HOMOPHONES,NAME HOMOPHONES,2,2024-09-17,2026-02-28,2,0,2.8,3.2536148986236038,0.432483,2.4267475,8
PALINDROMES,PALINDROMES,2,2024-12-22,2026-03-08,2,0,3.15,3.486629599026799,0.498266,2.629061,8
PLAYING CARDS,PLAYING CARDS,2,2025-05-25,2025-10-21,2,0,2.15,2.367164040032488,0.226504,1.6128149999999999,8
RED ___,RED ___,2,2024-06-24,2025-02-07,2,2,3.5,3.1492723174530024,0.39094,2.3482385,8
RHYMING COMPOUND WORDS,RHYMING COMPOUND WORDS,2,2025-08-14,2026-06-24,2,0,2.15,2.2352739118805593,0.19178800000000001,1.495784,8
SPANISH WORDS,SPANISH WORDS,2,2025-04-10,2025-11-12,2,0,2.65,2.3544923422500537,0.2276115,1.597128,8
THINGS THAT ARE YELLOW,THINGS THAT ARE YELLOW,2,2024-11-13,2026-05-31,2,0,2.6,2.778983136364377,0.3290105,1.9841294999999999,8
U.S. STATE ABBREVIATIONS,U.S. STATE ABBREVIATIONS,2,2024-08-16,2026-03-10,2,0,3.0999999999999996,2.210571076092477,0.18179099999999998,1.477359,8
___ TABLE,___ TABLE,2,2024-07-19,2026-06-06,2,2,2.75,2.417429730467716,0.25355249999999996,1.6436,8
___STONE,___STONE,2,2024-12-05,2025-07-01,2,2,3.2,2.714254005975962,0.3078865,1.930779,8
CAR RENTAL COMPANIES,CAR RENTAL COMPANIES,2,2024-08-24,2026-03-30,2,0,1.85,2.8895435800086946,0.3497035,2.0906425,7
CLAIRVOYANT,CLAIRVOYANT,2,2024-09-21,2026-05-02,2,0,1.75,1.6945215182795454,0.1038165,0.9615895000000001,7
CLASSIC BOARD GAMES,CLASSIC BOARD GAMES,2,2025-12-05,2026-05-27,2,0,2.0,2.524009055987788,0.2647375,1.7550405,7
CONNECT,CONNECT,2,2024-06-29,2025-05-28,2,0,3.15,2.6619858057365064,0.293325,1.885203,7
CRITICIZE,CRITICIZE,2,2024-09-05,2025-10-01,2,0,3.3,3.701208432801365,0.527163,2.847049,7
FAST-MOVING WATER,FAST-MOVING WATER,2,2024-10-01,2025-10-01,2,0,3.55,3.512684389676199,0.4928015,2.664503,7
FIGURES IN GREEK MYTH,FIGURES IN GREEK MYTH,2,2024-12-04,2026-06-17,2,0,2.9,3.406192413216598,0.48058,2.5541995,7
FORTITUDE,FORTITUDE,2,2024-07-08,2025-10-29,2,0,2.4,2.1197006751390717,0.1855465,1.369052,7
"HORROR MOVIES, WITH “THE”","HORROR MOVIES, WITH “THE”",2,2024-06-22,2025-04-18,2,0,2.35,2.7454410971435736,0.3190225,1.9555254999999998,7
KINDS OF HATS,KINDS OF HATS,2,2024-11-16,2026-01-16,2,0,2.3,3.1404617958013312,0.396258,2.3327835,7
KINDS OF TRUCKS,KINDS OF TRUCKS,2,2025-03-17,2026-03-24,2,0,2.5,2.4799412376940286,0.24964,1.7194355,7
LANDFORMS,LANDFORMS,2,2025-01-19,2025-04-07,2,0,3.4,3.131393572692649,0.378026,2.340582,7
MAKEUP,MAKEUP,2,2025-11-11,2026-01-29,2,0,2.3,2.3359000295429695,0.196944,1.606404,7
MALE ANIMALS,MALE ANIMALS,2,2025-09-05,2026-04-02,2,0,2.55,3.2963303274836067,0.418191,2.490186,7
MARTINI SPECIFICATIONS,MARTINI SPECIFICATIONS,2,2025-01-15,2025-07-20,2,0,3.25,3.3145854119771325,0.4329805,2.4964,7
MILD OATHS,MILD OATHS,2,2024-12-12,2025-12-02,2,0,2.8,3.3549832660137966,0.45119200000000004,2.5246684999999998,7
MLB PLAYER,MLB PLAYER,2,2025-12-02,2026-05-18,2,0,2.1,2.5354409185984648,0.2789205,1.7540105,7
MOVE QUICKLY,MOVE QUICKLY,2,2024-12-31,2025-09-10,2,0,3.05,2.681814911608268,0.2978055,1.903537,7
PARTS OF A SHIP,PARTS OF A SHIP,2,2024-11-25,2025-11-06,2,0,2.9,2.549250327029221,0.21944049999999998,1.8293789999999999,7
PASTA SHAPES,PASTA SHAPES,2,2024-11-19,2026-01-25,2,0,3.0,2.6368523086602327,0.29299200000000003,1.8566185,7
PERSPECTIVE,PERSPECTIVE,2,2025-06-13,2026-04-12,2,0,2.4,2.7314343928249882,0.3173675,1.941065,7
PILLAR,PILLAR,2,2025-05-02,2026-06-06,2,0,3.25,3.3755146409488455,0.44561649999999997,2.5538665,7
PREDICAMENT,PREDICAMENT,2,2024-06-17,2025-08-25,2,0,3.35,2.998833768410444,0.367186,2.1989045000000003,7
REMOTE CONTROL BUTTONS,REMOTE CONTROL BUTTONS,2,2024-06-18,2025-10-28,2,0,2.65,2.5142981002401195,0.271972,1.7366329999999999,7
SLANG FOR MONEY,SLANG FOR MONEY,2,2025-03-27,2025-12-24,2,0,3.1,3.619188534164125,0.53253,2.7473134999999997,7
STARTING WITH BIRD HOMOPHONES,STARTING WITH BIRD HOMOPHONES,2,2025-11-09,2026-06-25,2,0,1.65,1.8409559168585297,0.1251795,1.1087075,7
SUPER ___,SUPER ___,2,2024-12-23,2025-07-17,2,2,2.9,2.914521065578954,0.371083,2.098001,7
TECHNIQUE,TECHNIQUE,2,2025-11-16,2026-06-10,2,0,1.6,2.624493068462268,0.257695,1.8776955,7
THINGS THAT ARE PURPLE,THINGS THAT ARE PURPLE,2,2024-09-11,2025-11-07,2,0,2.65,2.0230083072049303,0.175583,1.2677654999999999,7
THINGS WITH SHELLS,THINGS WITH SHELLS,2,2024-11-05,2025-09-09,2,0,3.15,2.930490299037273,0.338125,2.1493325,7
U.S. CABINET DEPARTMENTS,U.S. CABINET DEPARTMENTS,2,2025-12-19,2026-05-02,2,0,1.65,1.8147494604275165,0.1381125,1.0656225,7
UNITS,UNITS,2,2024-10-27,2024-11-29,2,0,3.3,3.151854981464834,0.4066105,2.3355395,7
VEGETABLE UNITS,VEGETABLE UNITS,2,2024-11-12,2025-12-12,2,0,2.65,2.3468664650702413,0.2390335,1.576932,7
WORDS THAT SOUND LIKE PLURAL LETTERS,WORDS THAT SOUND LIKE PLURAL LETTERS,2,2024-12-24,2025-09-22,2,0,2.45,2.712598284978977,0.34410799999999997,1.8926524999999998,7
ZODIAC SYMBOLS,ZODIAC SYMBOLS,2,2024-08-20,2026-04-09,2,0,2.0,2.71419186211702,0.30698000000000003,1.931614,7
___ CONTROL,___ CONTROL,2,2024-09-28,2026-04-03,2,2,3.1,3.0564133130134543,0.379329,2.2530099999999997,7
ANIMAL GROUP NAMES,ANIMAL GROUP NAMES,2,2024-07-17,2026-03-16,2,0,2.35,2.773986857019933,0.3142785,1.9931130000000001,6
APTITUDE,APTITUDE,2,2024-12-05,2025-08-01,2,0,2.95,3.179611123217434,0.42675050000000003,2.3473344999999997,6
ATM OPTIONS,ATM OPTIONS,2,2025-03-31,2025-08-27,2,0,2.1,1.5708087397339838,0.092896,0.8301715,6
BASEBALL CALLS,BASEBALL CALLS,2,2025-07-25,2026-03-02,2,0,1.7999999999999998,2.2301407422174666,0.203494,1.4781719999999998,6
BOWLING RESULTS,BOWLING RESULTS,2,2025-02-17,2025-08-02,2,0,3.05,2.850734522813232,0.3237095,2.0719845,6
BURLESQUE WEAR,BURLESQUE WEAR,2,2024-08-23,2025-04-16,2,0,3.3,2.9043316455746764,0.3519315,2.105429,6
DEAL WITH,DEAL WITH,2,2024-10-17,2024-12-18,2,0,3.3,3.143241755700993,0.3943965,2.3378435,6
EVADE,EVADE,2,2025-03-02,2025-05-11,2,0,2.75,2.9873189024636986,0.392979,2.159863,6
EVALUATE,EVALUATE,2,2025-09-19,2025-11-14,2,0,2.1,3.4954983533854507,0.480892,2.656639,6
FAMILIAL NICKNAMES,FAMILIAL NICKNAMES,2,2024-12-03,2026-03-10,2,0,3.3,3.294396914697364,0.4090725,2.4970800000000004,6
FRUIT DESSERTS,FRUIT DESSERTS,2,2025-10-16,2026-01-22,2,0,2.15,2.5644008260102904,0.266666,1.799585,6
FUNNY PERSON,FUNNY PERSON,2,2025-01-28,2025-11-18,2,0,2.9,2.951341084715835,0.369498,2.1419495,6
GLIDE,GLIDE,2,2025-05-05,2025-10-18,2,0,3.0,2.8689982987555602,0.3299185,2.086789,6
GLIMMER,GLIMMER,2,2025-02-16,2026-05-05,2,0,2.75,3.318945911841632,0.44396199999999997,2.4904355000000002,6
INSULT,INSULT,2,2024-07-19,2025-07-13,2,0,2.7,1.980105577623222,0.1727885,1.221198,6
INTREPIDITY,INTREPIDITY,2,2024-12-17,2025-08-16,2,0,2.7,2.956787146535838,0.35133749999999997,2.166376,6
KINDS OF SHOES,KINDS OF SHOES,2,2024-09-17,2026-02-01,2,0,2.65,3.2190242361047106,0.415819,2.403613,6
KINDS OF UNDERWEAR,KINDS OF UNDERWEAR,2,2024-10-05,2025-09-29,2,0,2.75,2.714206637579985,0.3018285,1.9367825,6
MEANS,MEANS,2,2025-01-15,2025-07-30,2,0,3.5,2.8640984944928305,0.3459485,2.0651215,6
MESS OF HAIR,MESS OF HAIR,2,2024-07-09,2025-03-04,2,0,3.9,3.9047204448149833,0.603021,3.005343,6
MUSIC THEORY CONCEPTS,MUSIC THEORY CONCEPTS,2,2026-03-17,2026-05-20,2,0,2.5,2.376848921433748,0.2185665,1.6318955000000002,6
PUNCTUATION MARKS,PUNCTUATION MARKS,2,2025-11-15,2026-02-07,2,0,2.3,2.4710690067558563,0.23041650000000002,1.728451,6
REPLACEMENT,REPLACEMENT,2,2024-07-07,2025-11-29,2,0,3.25,3.091278625314525,0.37189550000000005,2.300558,6
RUDE THINGS TO DO,RUDE THINGS TO DO,2,2025-01-24,2025-09-11,2,0,2.4,1.7294424558529555,0.1208665,0.984718,6
RUSH OF WIND,RUSH OF WIND,2,2024-08-20,2025-10-04,2,0,2.0,2.1642465231170003,0.216011,1.38984,6
SLANG FOR HEAD,SLANG FOR HEAD,2,2024-12-22,2026-06-08,2,0,3.15,3.487837710410426,0.49773900000000004,2.630978,6
SPORTS,SPORTS,2,2025-08-03,2025-11-12,2,0,2.7,2.1257781707146175,0.1855435,1.3760475,6
SWINDLE,SWINDLE,2,2025-10-25,2026-05-17,2,0,1.9,2.940091307957583,0.32971300000000003,2.168791,6
TEASE,TEASE,2,2025-08-06,2026-04-16,2,0,2.15,2.7776250974888974,0.3207085,1.990869,6
TERMS OF ENDEARMENT,TERMS OF ENDEARMENT,2,2024-10-31,2025-10-30,2,0,3.3,2.944340122704963,0.322652,2.1807404999999997,6
THROW,THROW,2,2024-08-01,2026-01-17,2,0,2.55,2.263807938301034,0.1554575,1.5649445000000002,6
UTILITIES,UTILITIES,2,2025-04-06,2025-10-22,2,0,3.15,2.731994122127906,0.32682,1.9322564999999998,6
WHAT “POP” MIGHT MEAN,WHAT “POP” MIGHT MEAN,2,2024-07-20,2025-06-15,2,0,2.45,2.4955150102318076,0.2708575,1.7161365000000002,6
YEARN,YEARN,2,2024-07-05,2025-07-05,2,0,2.75,2.9466503097968184,0.382482,2.1235685,6
ALCOVE,ALCOVE,2,2025-05-31,2026-06-17,2,0,2.15,2.5528942169399076,0.2783155,1.7746965000000001,5
BITS OF HARDWARE,BITS OF HARDWARE,2,2024-06-20,2026-03-05,2,0,2.75,3.4455420785276116,0.495338,2.5847154999999997,5
BLUNDER,BLUNDER,2,2024-08-14,2025-08-21,2,0,2.45,2.375333132762493,0.2369815,1.6117365000000001,5
BREADTH,BREADTH,2,2024-08-15,2025-11-11,2,0,2.75,2.7978561828678012,0.2760585,2.058796,5
CELLPHONE MODES,CELLPHONE MODES,2,2025-03-02,2026-05-14,2,0,2.35,2.6737953117976767,0.3236255,1.86849,5
DANCE STYLES,DANCE STYLES,2,2024-11-30,2026-06-23,2,0,2.9,2.5193434862703015,0.2492665,1.7651435,5
DOG COMMANDS,DOG COMMANDS,2,2025-01-09,2025-10-02,2,0,2.25,1.9722532882020893,0.1567195,1.2282324999999998,5
DOPPELGÄNGER,DOPPELGÄNGER,2,2025-05-25,2026-01-07,2,0,2.05,2.3755147840424766,0.22273500000000002,1.626192,5
ENDORSE,ENDORSE,2,2025-07-12,2026-06-20,2,0,2.55,2.5886569213298944,0.288958,1.8052009999999998,5
ENORMOUS,ENORMOUS,2,2024-07-13,2025-12-15,2,0,1.75,2.224778118305973,0.20895000000000002,1.466546,5
ENTREATY,ENTREATY,2,2025-09-12,2026-04-28,2,0,2.75,2.539970901714624,0.2569225,1.7812204999999999,5
GYMNASTICS APPARATUS,GYMNASTICS APPARATUS,2,2025-07-15,2026-03-02,2,0,2.3,2.5984839079190847,0.302191,1.8032745000000001,5
KINDS OF BRAS,KINDS OF BRAS,2,2024-11-11,2026-03-31,2,0,2.8,2.8826156261677687,0.3363855,2.0959895,5
KINDS OF FICTION,KINDS OF FICTION,2,2025-08-10,2026-04-23,2,0,2.4,2.9452653274300493,0.37437549999999997,2.1300815,5
KINDS OF GOLF CLUBS,KINDS OF GOLF CLUBS,2,2024-06-22,2026-02-03,2,0,2.25,2.444002531465779,0.2301235,1.6976025,5
MULTITUDE,MULTITUDE,2,2024-06-19,2026-05-07,2,0,2.25,2.5069203639236344,0.259287,1.7408295,5
NONSENSE,NONSENSE,2,2024-08-03,2025-09-08,2,0,3.25,2.8612833342255164,0.3604645,2.0473665,5
PARTS OF A BOOK,PARTS OF A BOOK,2,2024-07-28,2025-10-19,2,0,2.7,2.699193463490004,0.31709149999999997,1.904246,5
PARTS OF A FLIGHT,PARTS OF A FLIGHT,2,2024-12-10,2025-12-30,2,0,3.05,2.021131823408348,0.1652585,1.275931,5
STATUS,STATUS,2,2024-08-25,2026-03-02,2,0,1.9500000000000002,1.893625662032687,0.132421,1.1620655,5
STOCKY,STOCKY,2,2025-06-21,2025-11-19,2,0,2.75,3.618652706345415,0.5428445,2.7363825000000004,5
STREET SUFFIXES,STREET SUFFIXES,2,2024-07-29,2025-10-11,2,0,2.55,2.6174908027340757,0.275552,1.851782,5
TINT,TINT,2,2025-02-01,2025-04-26,2,0,2.8499999999999996,2.2524673359027902,0.213034,1.49432,5
TRANSFER,TRANSFER,2,2024-07-11,2024-09-10,2,0,2.8499999999999996,2.85865938583187,0.3376265,2.0671855,5
UNMOVING,UNMOVING,2,2025-12-28,2026-01-15,2,0,1.1,1.9809686384893668,0.1464835,1.2484959999999998,5
VOCATION,VOCATION,2,2025-01-24,2025-12-27,2,0,2.75,2.6407934461199836,0.2762605,1.8778845,5
WINNINGS,WINNINGS,2,2025-05-01,2025-10-23,2,0,3.25,3.156697422165464,0.393641,2.3540805,5
ARMY RANKS,ARMY RANKS,2,2024-06-26,2026-01-03,1,0,3.05,3.141135817656009,0.4034205,2.3263965,4
ATTENDANCE STATUS,ATTENDANCE STATUS,2,2025-04-13,2026-02-21,1,0,2.65,2.2923749922269607,0.1923535,1.5609165,4
BEDDING,BEDDING,2,2024-09-29,2026-01-21,1,0,3.4,2.5357616330592982,0.277934,1.755366,4
POULTRY CUTS,POULTRY CUTS,2,2024-07-24,2025-08-15,1,0,2.45,2.9961281203980485,0.32301599999999997,2.2399615,4
SOMEBODY,SOMEBODY,2,2024-09-20,2025-02-09,1,0,2.7,2.565495948559477,0.2596395,1.8078715,4
WAYS TO UNLOCK A DEVICE,WAYS TO UNLOCK A DEVICE,2,2024-11-19,2025-11-06,1,0,3.25,2.541106439500745,0.24202,1.7974295,4
"""AW, HECK!""","""AW, HECK!""",1,2025-06-15,2025-06-15,1,0,2.3,3.09211430811694,0.404028,2.269387,4
"""BEST ___ PERFORMANCE"" GRAMMY AWARD","""BEST ___ PERFORMANCE"" GRAMMY AWARD",1,2025-09-06,2025-09-06,1,1,2.3,2.4783693891779937,0.239861,1.727406,4
"""BIG"" THINGS","""BIG"" THINGS",1,2026-03-03,2026-03-03,1,0,2.3,2.0476594288726346,0.191694,1.280017,4
"""ENTHUSIAST"" EQUIVALENT","""ENTHUSIAST"" EQUIVALENT",1,2026-01-01,2026-01-01,1,0,2.5,3.1023988994856118,0.419775,2.265473,4
"""IN YOUR DREAMS""","""IN YOUR DREAMS""",1,2026-05-30,2026-05-30,1,0,2.0,2.8885996886686813,0.339423,2.099837,4
"""LET SLEEPING DOGS LIE""","""LET SLEEPING DOGS LIE""",1,2026-04-04,2026-04-04,1,0,2.0,2.360276936000936,0.239245,1.59215,4
"""LONG"" THINGS","""LONG"" THINGS",1,2026-05-12,2026-05-12,1,0,3.3,3.9957268669421566,0.62178,3.091292,4
"""MY GOODNESS!""","""MY GOODNESS!""",1,2025-12-10,2025-12-10,1,0,1.8,1.7777264959610841,0.09873,1.062408,4
"""NO THANKS""","""NO THANKS""",1,2026-03-13,2026-03-13,1,0,2.0,2.5980219574152015,0.271196,1.833738,4
"""NOTHING TO IT!""","""NOTHING TO IT!""",1,2025-07-27,2025-07-27,1,0,2.8,2.093537241379633,0.15702,1.367476,4
"""RIGHT""","""RIGHT""",1,2025-04-01,2025-04-01,1,0,4.6,4.347280326418446,0.712361,3.405193,4
"""RUBBER BABY BUGGY BUMPER""","""RUBBER BABY BUGGY BUMPER""",1,2025-09-23,2025-09-23,1,0,2.5,2.562108890960921,0.268901,1.794713,4
"""SAINT"" CITIES","""SAINT"" CITIES",1,2026-05-12,2026-05-12,1,0,3.3,3.9957268669421566,0.62178,3.091292,4
"""SCHOOL"" MODIFIERS","""SCHOOL"" MODIFIERS",1,2026-05-17,2026-05-17,1,0,1.5,2.902125321296017,0.306552,2.14827,4
"""THE SIMPSONS"" CHARACTERS","""THE SIMPSONS"" CHARACTERS",1,2026-04-27,2026-04-27,1,0,3.0,3.647664762450059,0.510224,2.802383,4
"""THE ___ MAN"" MOVIES","""THE ___ MAN"" MOVIES",1,2026-06-08,2026-06-08,1,1,2.8,3.4388135934367163,0.483536,2.588776,4
"""VIRGIN"" THINGS","""VIRGIN"" THINGS",1,2026-03-23,2026-03-23,1,0,2.0,2.6590819926914016,0.318585,1.856602,4
"""WHEREFORE ART THOU ROMEO?""","""WHEREFORE ART THOU ROMEO?""",1,2026-03-07,2026-03-07,1,0,1.5,1.4451282171794075,0.072871,0.705594,4
"""YOU BET""","""YOU BET""",1,2025-11-17,2025-11-17,1,0,2.7,3.0165369459049747,0.346476,2.239983,4
"""YOU SHOULD KNOW BETTER!""","""YOU SHOULD KNOW BETTER!""",1,2025-09-10,2025-09-10,1,0,3.3,2.9928266735702027,0.363769,2.19541,4
"""___ DAY"" MOVIES","""___ DAY"" MOVIES",1,2026-05-20,2026-05-20,1,1,,2.3939563001128286,0.215413,1.654732,4
"""___ GIRL"" TITLES","""___ GIRL"" TITLES",1,2026-03-04,2026-03-04,1,1,2.0,2.0533810096196947,0.165819,1.312475,4
"""___ MAN"" SONGS FROM THE '70S","""___ MAN"" SONGS FROM THE '70S",1,2025-12-03,2025-12-03,1,1,1.7,1.4908939099968468,0.069151,0.76197,4
"""___ PLEASE""","""___ PLEASE""",1,2026-02-26,2026-02-26,1,1,2.3,3.4114494360251344,0.450213,2.590615,4
#1 SONGS FROM 1982,#1 SONGS FROM 1982,1,2025-03-09,2025-03-09,1,0,2.8,1.7128717741374646,0.112934,0.973585,4
$1,$1,1,2026-03-07,2026-03-07,1,0,1.5,1.4451282171794075,0.072871,0.705594,4
'70S ROCK BANDS,'70S ROCK BANDS,1,2025-12-26,2025-12-26,1,0,2.7,3.1135065710559338,0.376958,2.32107,4
'80S COMEDIES,'80S COMEDIES,1,2026-05-26,2026-05-26,1,0,1.8,2.2541256643344156,0.231927,1.477335,4
'80S SLANG,'80S SLANG,1,2025-06-10,2025-06-10,1,0,3.0,3.2499275514689026,0.410625,2.444363,4
20TH CENTURY AMERICAN POETS,20TH CENTURY AMERICAN POETS,1,2026-03-21,2026-03-21,1,0,2.3,3.4058799556321273,0.456952,2.577468,4
A HANDFUL OF,A HANDFUL OF,1,2025-01-07,2025-01-07,1,0,3.0,3.7297737484375313,0.529005,2.878073,4
A REAL JERK,A REAL JERK,1,2025-08-26,2025-08-26,1,0,3.3,3.7935550763339716,0.55044,2.930022,4
ABANDON,ABANDON,1,2025-08-11,2025-08-11,1,0,1.8,2.1003426457924363,0.182595,1.349731,4
ABDOMINAL AREA,ABDOMINAL AREA,1,2025-11-29,2025-11-29,1,0,2.3,2.659685179238334,0.248819,1.927062,4
ABILITY TO DO SOMETHING WELL,ABILITY TO DO SOMETHING WELL,1,2024-07-30,2024-07-30,1,0,2.0,2.55556336086733,0.233538,1.822545,4
ABSOLVE,ABSOLVE,1,2024-09-03,2024-09-03,1,0,3.1,2.9806734207088716,0.363165,2.182031,4
ABSORB USING CAPILLARY ACTION,ABSORB USING CAPILLARY ACTION,1,2025-05-14,2025-05-14,1,0,3.3,2.493268270716214,0.256976,1.727433,4
ACCESSIBLE,ACCESSIBLE,1,2025-02-18,2025-02-18,1,0,2.5,1.7264764989489083,0.105464,0.996708,4
ACCESSORIES FOR A MAGICIAN,ACCESSORIES FOR A MAGICIAN,1,2026-04-13,2026-04-13,1,0,2.3,2.4522715758570186,0.269651,1.667589,4
ACCESSORIES FOR MR. MONOPOLY,ACCESSORIES FOR MR. MONOPOLY,1,2026-01-13,2026-01-13,1,0,2.0,1.9686506826732173,0.127886,1.252921,4
ACCESSORIES FOR PLAYING AN INSTRUMENT,ACCESSORIES FOR PLAYING AN INSTRUMENT,1,2025-01-08,2025-01-08,1,0,3.3,2.935824675740156,0.354305,2.13929,4
ACCESSORY WITH A POINTY FASTENER,ACCESSORY WITH A POINTY FASTENER,1,2025-08-06,2025-08-06,1,0,2.3,2.436910309242475,0.253678,1.665888,4
ACCOMMODATION,ACCOMMODATION,1,2025-04-30,2025-04-30,1,0,3.3,3.0048200037735575,0.362604,2.210374,4
ACCOUNT BOOK,ACCOUNT BOOK,1,2025-05-20,2025-05-20,1,0,2.5,2.508705152935345,0.25437,1.7478,4
ACHIEVE VICTORY OVER,ACHIEVE VICTORY OVER,1,2025-11-28,2025-11-28,1,0,2.3,3.7019532899637877,0.511292,2.863777,4
ACRONYMS,ACRONYMS,1,2025-11-12,2025-11-12,1,0,2.8,2.579876819749035,0.275922,1.808135,4
ACT AS A BACKUP,ACT AS A BACKUP,1,2026-01-25,2026-01-25,1,0,2.3,2.5856070919448984,0.27437,1.81628,4
ACT LOVESTRUCK,ACT LOVESTRUCK,1,2026-02-11,2026-02-11,1,0,2.5,2.9219852818110295,0.349113,2.128559,4
ACTION FILM SUBGENRES,ACTION FILM SUBGENRES,1,2025-11-14,2025-11-14,1,0,2.2,3.3173671101665545,0.43138,2.501201,4
ACTIONS IN CARD GAMES,ACTIONS IN CARD GAMES,1,2024-09-29,2024-09-29,1,0,4.5,1.941421242718083,0.145235,1.204243,4
ACTIONS IN FANTASY SPORTS,ACTIONS IN FANTASY SPORTS,1,2024-09-27,2024-09-27,1,0,3.6,3.049613992614814,0.387416,2.2371,4
ACTIVITIES THAT INVOLVE FOLDING,ACTIVITIES THAT INVOLVE FOLDING,1,2024-08-25,2024-08-25,1,0,2.6,1.8969644820903857,0.118369,1.179959,4
ACTORS WHOSE LAST NAMES ARE ALSO VERBS,ACTORS WHOSE LAST NAMES ARE ALSO VERBS,1,2025-08-22,2025-08-22,1,0,3.3,2.858614190298094,0.339337,2.065423,4
